gene_id	control_1	control_2	treatment_1	treatment_2
Glyma.01G037400.Wm82.a4.v1	153	112	41	78
Glyma.01G037500.Wm82.a4.v1	26	0	1	8
Glyma.01G037600.Wm82.a4.v1	11	0	30	27
Glyma.01G037700.Wm82.a4.v1	512	732	265	510
Glyma.01G037800.Wm82.a4.v1	164	182	40	176
Glyma.01G037900.Wm82.a4.v1	468	335	161	384
Glyma.01G038002.Wm82.a4.v1	144	111	33	73
Glyma.01G038100.Wm82.a4.v1	159	106	41	154
Glyma.01G038250.Wm82.a4.v1	358	296	256	388
Glyma.01G038300.Wm82.a4.v1	13	82	89	204
Glyma.01G038350.Wm82.a4.v1	0	0	0	0
Glyma.01G038400.Wm82.a4.v1	108	87	12	109
Glyma.01G038500.Wm82.a4.v1	142	222	152	303
Glyma.01G038600.Wm82.a4.v1	561	593	71	191
Glyma.01G038651.Wm82.a4.v1	0	0	0	3
Glyma.01G038700.Wm82.a4.v1	126	107	53	114
Glyma.01G038800.Wm82.a4.v1	543	471	348	623
Glyma.01G038900.Wm82.a4.v1	86	173	58	72
Glyma.01G039000.Wm82.a4.v1	49	41	15	38
Glyma.01G039100.Wm82.a4.v1	70	106	68	95
Glyma.01G039200.Wm82.a4.v1	297	322	72	148
Glyma.01G039300.Wm82.a4.v1	0	0	0	0
Glyma.01G039400.Wm82.a4.v1	0	9	4	6
Glyma.01G039500.Wm82.a4.v1	187	169	86	206
Glyma.01G039600.Wm82.a4.v1	180	153	17	45
Glyma.01G039700.Wm82.a4.v1	0	0	0	0
Glyma.01G039800.Wm82.a4.v1	61	74	37	83
Glyma.01G039900.Wm82.a4.v1	45	98	26	29
Glyma.01G040000.Wm82.a4.v1	624	557	167	408
Glyma.01G040100.Wm82.a4.v1	5	0	4	2
Glyma.01G040200.Wm82.a4.v1	285	260	51	117
Glyma.01G040300.Wm82.a4.v1	284	206	75	161
Glyma.01G040400.Wm82.a4.v1	173	227	230	390
Glyma.01G040500.Wm82.a4.v1	44	33	9	24
Glyma.01G040600.Wm82.a4.v1	0	4	1	5
Glyma.01G040700.Wm82.a4.v1	313	597	97	168
Glyma.01G040900.Wm82.a4.v1	37	48	37	43
Glyma.01G041000.Wm82.a4.v1	0	0	0	0
Glyma.01G041100.Wm82.a4.v1	0	0	0	0
Glyma.01G041200.Wm82.a4.v1	0	2	0	0
Glyma.01G041300.Wm82.a4.v1	381	508	230	556
Glyma.01G041400.Wm82.a4.v1	40	0	11	46
Glyma.01G041450.Wm82.a4.v1	0	0	0	0
Glyma.01G041500.Wm82.a4.v1	56	43	27	33
Glyma.01G041600.Wm82.a4.v1	46	28	17	39
Glyma.01G041651.Wm82.a4.v1	242	245	75	152
Glyma.01G041700.Wm82.a4.v1	596	720	133	326
Glyma.01G042100.Wm82.a4.v1	12	53	13	18
Glyma.01G042200.Wm82.a4.v1	0	0	0	0
Glyma.01G042300.Wm82.a4.v1	303	466	208	472
Glyma.01G042400.Wm82.a4.v1	219	294	115	329
Glyma.01G042500.Wm82.a4.v1	0	0	0	0
Glyma.01G042600.Wm82.a4.v1	0	0	0	0
Glyma.01G042700.Wm82.a4.v1	0	0	0	0
Glyma.01G042800.Wm82.a4.v1	772	536	424	982
Glyma.01G042900.Wm82.a4.v1	53	35	5	36
Glyma.01G043000.Wm82.a4.v1	16	25	7	25
Glyma.01G043100.Wm82.a4.v1	0	0	11	6
Glyma.01G043300.Wm82.a4.v1	6	0	1	3
Glyma.01G043400.Wm82.a4.v1	17	0	0	0
Glyma.01G043600.Wm82.a4.v1	345	386	76	144
Glyma.01G043700.Wm82.a4.v1	9	57	4	11
Glyma.01G043800.Wm82.a4.v1	292	258	61	184
Glyma.01G043925.Wm82.a4.v1	0	0	0	0
Glyma.01G043951.Wm82.a4.v1	48	66	32	53
Glyma.01G043976.Wm82.a4.v1	0	0	0	0
Glyma.01G044000.Wm82.a4.v1	118	112	48	88
Glyma.01G044100.Wm82.a4.v1	148	157	291	547
Glyma.01G044200.Wm82.a4.v1	319	311	145	353
Glyma.01G044300.Wm82.a4.v1	139	223	48	122
Glyma.01G044400.Wm82.a4.v1	0	0	0	0
Glyma.01G044500.Wm82.a4.v1	91	125	5	33
Glyma.01G044600.Wm82.a4.v1	2176	2789	492	1213
Glyma.01G044650.Wm82.a4.v1	37	17	0	5
Glyma.01G044800.Wm82.a4.v1	640	344	137	239
Glyma.01G044900.Wm82.a4.v1	0	0	6	9
Glyma.01G045000.Wm82.a4.v1	0	0	0	0
Glyma.01G045100.Wm82.a4.v1	1800	1850	854	1698
Glyma.01G045200.Wm82.a4.v1	86	106	37	127
Glyma.01G045300.Wm82.a4.v1	85	25	25	41
Glyma.01G045400.Wm82.a4.v1	325	241	43	110
Glyma.01G045500.Wm82.a4.v1	398	244	116	210
Glyma.01G045700.Wm82.a4.v1	251	200	105	154
Glyma.01G045750.Wm82.a4.v1	0	0	0	0
Glyma.01G045800.Wm82.a4.v1	404	241	167	360
Glyma.01G045900.Wm82.a4.v1	0	0	0	0
Glyma.01G046000.Wm82.a4.v1	246	303	95	217
Glyma.01G046100.Wm82.a4.v1	0	0	0	0
Glyma.01G046200.Wm82.a4.v1	166	182	77	162
Glyma.01G046300.Wm82.a4.v1	7	15	0	1
Glyma.01G046351.Wm82.a4.v1	0	0	0	0
Glyma.01G046400.Wm82.a4.v1	47	57	39	49
Glyma.01G046500.Wm82.a4.v1	159	160	235	326
Glyma.01G046600.Wm82.a4.v1	15	0	7	6
Glyma.01G046700.Wm82.a4.v1	1517	1232	385	707
Glyma.01G046800.Wm82.a4.v1	0	0	0	0
Glyma.01G046900.Wm82.a4.v1	0	0	6	1
Glyma.01G047000.Wm82.a4.v1	2263	2518	1128	1981
Glyma.01G047100.Wm82.a4.v1	548	472	178	508
